name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;921;0;898;3093;1218;3093;1009;0
header;138;107;138;150;1762;150;1762;107
A;937;182;937;208;955;208;955;182
A;1040;739;1040;754;1048;754;1048;739
A;971;923;971;939;979;939;979;923
A;916;1017;916;1022;923;1022;923;1017
B;1042;1248;1042;1266;1055;1266;1055;1248
C;931;1528;931;1555;952;1555;952;1528
B;1082;1851;1082;1866;1091;1866;1091;1851
D;1089;2221;1089;2237;1097;2237;1097;2221
A;1007;2680;1007;2683;1011;2683;1011;2680
B;892;2870;892;2896;914;2896;914;2870
A;1082;3026;1082;3026;1082;3026;1082;3026
